"","plot","long","lat","samp_date","src_data"
"187","E1S10",-163.891897,67.624324,"6/27/06 0:00","ARCN FIA plot"
"188","E1S50",-163.891416,67.624011,"6/27/06 0:00","ARCN FIA plot"
"189","E1S100",-163.892267,67.623412,"6/27/06 0:00","ARCN FIA plot"
"190","E1S300",-163.889907,67.621994,"6/21/06 0:00","ARCN FIA plot"
"191","E1S1000",-163.880121,67.616514,"6/27/06 0:00","ARCN FIA plot"
"192","E1S1000A",-163.879935,67.616416,"6/27/06 0:00","ARCN FIA plot"
"193","E1S2000",-163.86803,67.608639,"7/6/06 0:00","ARCN FIA plot"
"194","E1S4000",-163.859175,67.588353,"7/6/06 0:00","ARCN FIA plot"
"195","E2S10",-163.869215,67.627786,"6/25/06 0:00","ARCN FIA plot"
"196","E2S50",-163.861358,67.628585,"6/25/06 0:00","ARCN FIA plot"
"197","E2S100",-163.860536,67.628178,"6/25/06 0:00","ARCN FIA plot"
"198","E2S300",-163.868677,67.625076,"6/25/06 0:00","ARCN FIA plot"
"199","E2S1000",-163.835196,67.623693,"6/25/06 0:00","ARCN FIA plot"
"200","E2S1000A",-163.835184,67.623824,"6/25/06 0:00","ARCN FIA plot"
"201","E2S2000",-163.820034,67.6162,"7/7/06 0:00","ARCN FIA plot"
"202","E2S4000",-163.834785,67.594336,"7/7/06 0:00","ARCN FIA plot"
"203","E3N10",-163.615067,67.746035,"6/23/06 0:00","ARCN FIA plot"
"204","E3N50",-163.61355,67.748507,"6/23/06 0:00","ARCN FIA plot"
"205","E3N100",-163.614744,67.748358,"6/23/06 0:00","ARCN FIA plot"
"206","E3N300",-163.66789,67.715874,"6/24/06 0:00","ARCN FIA plot"
"207","E3N1000",-163.683154,67.717273,"6/26/06 0:00","ARCN FIA plot"
"208","E3N1000A",-163.682687,67.717308,"6/26/06 0:00","ARCN FIA plot"
"209","E4N10",-163.715348,67.665071,"6/24/06 0:00","ARCN FIA plot"
"210","E4N50",-163.614999,67.747082,"6/23/06 0:00","ARCN FIA plot"
"211","E4N100",-163.716371,67.66566,"6/24/06 0:00","ARCN FIA plot"
"212","E4N300",-163.716379,67.667663,"6/24/06 0:00","ARCN FIA plot"
"213","E4N1000",-163.72802,67.674833,"6/24/06 0:00","ARCN FIA plot"
"214","E4N2000",-163.745969,67.684576,"7/5/06 0:00","ARCN FIA plot"
"215","E4N4000",-163.79946,67.689701,"7/5/06 0:00","ARCN FIA plot"
"216","E4N4000A",-163.799208,67.689557,"7/5/06 0:00","ARCN FIA plot"
"217","E5N10",-163.87014,67.627985,"6/29/06 0:00","ARCN FIA plot"
"218","E5N50",-163.871232,67.62821,"6/29/06 0:00","ARCN FIA plot"
"219","E5N100",-163.872598,67.628377,"6/29/06 0:00","ARCN FIA plot"
"220","E5N300",-163.873504,67.630228,"6/29/06 0:00","ARCN FIA plot"
"221","E5N1000",-163.900274,67.633032,"7/4/06 0:00","ARCN FIA plot"
"222","E5N1000A",-163.900979,67.63285,"7/4/06 0:00","ARCN FIA plot"
"223","E5N2000",-163.97663,67.61894,"7/6/06 0:00","ARCN FIA plot"
"224","E5N4000",-164.004806,67.634428,"7/6/06 0:00","ARCN FIA plot"
"225","E6S10",-163.683095,67.686916,"6/22/06 0:00","ARCN FIA plot"
"226","E6S50",-163.682583,67.686604,"6/22/06 0:00","ARCN FIA plot"
"227","E6S100",-163.67804,67.687822,"6/22/06 0:00","ARCN FIA plot"
"228","E6S300",-163.668329,67.690578,"6/22/06 0:00","ARCN FIA plot"
"229","E6S1000",-163.652217,67.689157,"6/22/06 0:00","ARCN FIA plot"
"230","E6S2000",-163.619137,67.694403,"7/7/06 0:00","ARCN FIA plot"
"231","E6S2000A",-163.618984,67.694288,"7/7/06 0:00","ARCN FIA plot"
"232","E6S4000",-163.559829,67.700826,"7/7/06 0:00","ARCN FIA plot"
"233","T1N10",-163.935284,67.609404,"6/23/06 0:00","ARCN FIA plot"
"234","T1N50",-163.936282,67.609519,"6/23/06 0:00","ARCN FIA plot"
"235","T1N100",-163.936945,67.609876,"6/23/06 0:00","ARCN FIA plot"
"236","T1N300",-163.931757,67.615281,"6/28/06 0:00","ARCN FIA plot"
"237","T1N1000",-163.956004,67.614043,"6/28/06 0:00","ARCN FIA plot"
"238","T1N1000A",-163.95611,67.614194,"6/28/06 0:00","ARCN FIA plot"
"239","T1N2000",-163.990582,67.617357,"7/6/06 0:00","ARCN FIA plot"
"240","T1N4000",-164.012603,67.634936,"7/6/06 0:00","ARCN FIA plot"
"241","T2N10",-163.614507,67.753618,"7/4/06 0:00","ARCN FIA plot"
"242","T2N50",-163.613029,67.751416,"7/8/06 0:00","ARCN FIA plot"
"243","T2N100",-163.614011,67.751444,"7/8/06 0:00","ARCN FIA plot"
"244","T2N300",-163.617882,67.75045,"7/8/06 0:00","ARCN FIA plot"
"245","T2N1000",-163.637817,67.751655,"7/8/06 0:00","ARCN FIA plot"
"246","T2N2000",-163.665637,67.758089,"7/8/06 0:00","ARCN FIA plot"
"247","T2N4000",-163.711674,67.763908,"7/7/06 0:00","ARCN FIA plot"
"248","T2N4000A",-163.711359,67.764005,"7/7/06 0:00","ARCN FIA plot"
"249","T3S10",-163.6919,67.682918,"6/22/06 0:00","ARCN FIA plot"
"250","T3S50",-163.691723,67.682432,"6/27/06 0:00","ARCN FIA plot"
"251","T3S100",-163.689374,67.682805,"6/27/06 0:00","ARCN FIA plot"
"252","T3S300",-163.685141,67.681832,"6/27/06 0:00","ARCN FIA plot"
"253","T3S1000",-163.666829,67.680539,"6/22/06 0:00","ARCN FIA plot"
"254","T3S1000A",-163.666445,67.680617,"6/22/06 0:00","ARCN FIA plot"
"255","T3S2000",-163.659884,67.660793,"7/5/06 0:00","ARCN FIA plot"
"256","T3S4000",-163.626192,67.646636,"7/5/06 0:00","ARCN FIA plot"
"257","T4S10",-163.573291,67.765089,"6/26/06 0:00","ARCN FIA plot"
"258","T4S50",-163.57455,67.76493,"6/26/06 0:00","ARCN FIA plot"
"259","T4S100",-163.568376,67.764086,"6/28/06 0:00","ARCN FIA plot"
"260","T4S300",-163.562137,67.763524,"6/28/06 0:00","ARCN FIA plot"
"261","T4S1000",-163.560501,67.756619,"6/28/06 0:00","ARCN FIA plot"
"262","T4S1000A",-163.560165,67.756647,"6/28/06 0:00","ARCN FIA plot"
"263","T4S2000",-163.474324,67.765309,"7/7/06 0:00","ARCN FIA plot"
"264","T4S4000",-163.440219,67.751699,"7/7/06 0:00","ARCN FIA plot"
"265","T5N10",-163.703371,67.678204,"6/25/06 0:00","ARCN FIA plot"
"266","T5N50",-163.704229,67.678358,"6/25/06 0:00","ARCN FIA plot"
"267","T5N100",-163.70733,67.676648,"6/25/06 0:00","ARCN FIA plot"
"268","T5N300",-163.711633,67.676907,"6/26/06 0:00","ARCN FIA plot"
"269","T5N1000",-163.719657,67.684495,"6/26/06 0:00","ARCN FIA plot"
"270","T5N1000A",-163.719297,67.684454,"6/26/06 0:00","ARCN FIA plot"
"271","T5N2000",-163.737243,67.691236,"7/5/06 0:00","ARCN FIA plot"
"272","T5N4000",-163.783031,67.696575,"7/5/06 0:00","ARCN FIA plot"
"273","T6S10",-163.897202,67.623537,"6/21/06 0:00","ARCN FIA plot"
"274","T6S50",-163.895073,67.623471,"6/21/06 0:00","ARCN FIA plot"
"275","T6S100",-163.893838,67.623222,"6/21/06 0:00","ARCN FIA plot"
"276","T6S300",-163.892538,67.621488,"6/21/06 0:00","ARCN FIA plot"
"277","T6S1000",-163.880905,67.616304,"6/21/06 0:00","ARCN FIA plot"
"278","T6S2000",-163.962796,67.578728,"7/6/06 0:00","ARCN FIA plot"
"279","T6S4000",-163.962983,67.561001,"7/6/06 0:00","ARCN FIA plot"
"280","T6S4000A",-163.962892,67.56117,"7/6/06 0:00","ARCN FIA plot"
"281","AADB2",-163.312739,67.231478,"6/12/07 0:00","ARCN FIA plot"
"282","AADD1",-163.608561,67.590764,"6/15/07 0:00","ARCN FIA plot"
"283","AADD2",-163.532035,67.159902,"6/12/07 0:00","ARCN FIA plot"
"284","AADD3",-163.028418,67.162564,"6/12/07 0:00","ARCN FIA plot"
"285","AMDD2",-163.804809,67.519505,"6/13/07 0:00","ARCN FIA plot"
"286","ANDB2",-163.760425,67.517111,"6/14/07 0:00","ARCN FIA plot"
"287","ANDD1",-163.184701,67.794963,"6/15/07 0:00","ARCN FIA plot"
"288","CBM2R",-163.462723,67.100529,"6/13/07 0:00","ARCN FIA plot"
"289","CBM3R",-163.521127,67.126927,"6/13/07 0:00","ARCN FIA plot"
"290","CF2R",-162.786864,67.145823,"7/4/07 0:00","ARCN FIA plot"
"291","CF3R",-162.833244,67.186669,"7/4/07 0:00","ARCN FIA plot"
"292","CT1R",-163.608949,67.113362,"6/13/07 0:00","ARCN FIA plot"
"293","CT2R",-163.508514,67.114103,"6/13/07 0:00","ARCN FIA plot"
"294","DBTT1R",-163.93998,67.692997,"6/15/07 0:00","ARCN FIA plot"
"295","DBTT3R",-163.440218,67.714956,"6/15/07 0:00","ARCN FIA plot"
"296","G2R",-163.752078,67.418686,"6/13/07 0:00","ARCN FIA plot"
"297","G3R",-163.234416,67.365403,"6/13/07 0:00","ARCN FIA plot"
"298","JPalisad",-163.584772,67.160627,"7/4/07 0:00","ARCN FIA plot"
"299","JSVC1",-163.676591,67.270293,"6/11/07 0:00","ARCN FIA plot"
"300","LW1R",-163.462492,67.605563,"6/15/07 0:00","ARCN FIA plot"
"301","LW2R",-163.400451,67.346007,"6/12/07 0:00","ARCN FIA plot"
"302","LW3R",-163.385478,67.658508,"6/15/07 0:00","ARCN FIA plot"
"303","RBW1R",-163.841549,67.465736,"6/12/07 0:00","ARCN FIA plot"
"304","RBW2R",-163.82066,67.469101,"6/16/07 0:00","ARCN FIA plot"
"305","RBW3R",-163.967975,67.702738,"6/14/07 0:00","ARCN FIA plot"
"306","SDM1R",-163.376552,67.145601,"6/12/07 0:00","ARCN FIA plot"
"307","SDM3R",-163.566421,67.533489,"6/14/07 0:00","ARCN FIA plot"
"308","T5ULW",-163.623621,67.273964,"6/16/07 0:00","ARCN FIA plot"
"309","ULW2R",-163.818237,67.500026,"6/14/07 0:00","ARCN FIA plot"
"310","04-B3",-162.241131,67.397677,"7/6/04 0:00","ARCN FIA plot"
"311","04-B5",-162.67859,67.805228,"7/7/04 0:00","ARCN FIA plot"
"312","04-D1",-161.503432,68.015412,"7/11/04 0:00","ARCN FIA plot"
"313","04-D12",-162.649734,67.783168,"7/7/04 0:00","ARCN FIA plot"
"314","04-F2",-162.081448,67.21485,"7/12/04 0:00","ARCN FIA plot"
"315","04-F3",-162.389179,68.032479,"7/8/04 0:00","ARCN FIA plot"
"316","04-H2",-160.429078,68.256842,"7/10/04 0:00","ARCN FIA plot"
"317","04-H3",-161.06419,68.319024,"7/9/04 0:00","ARCN FIA plot"
"318","04-L2",-160.786239,68.236655,"7/10/04 0:00","ARCN FIA plot"
"319","04-S1",-162.100106,68.220495,"7/8/04 0:00","ARCN FIA plot"
"320","04-S8",-161.832434,68.214821,"7/8/04 0:00","ARCN FIA plot"
"321","04-W12",-162.621903,67.602414,"7/9/04 0:00","ARCN FIA plot"
"322","04-W4",-160.570832,67.896017,"7/11/04 0:00","ARCN FIA plot"
"323","Q1-L2",-161.452804,68.471932,"6/29/04 0:00","ARCN FIA plot"
"324","Q3-A5",-161.49325,68.463911,"6/28/04 0:00","ARCN FIA plot"
"325","Q3-D2",-161.477717,68.472079,"6/25/04 0:00","ARCN FIA plot"
"326","Q3-H3",-161.454688,68.459903,"6/27/04 0:00","ARCN FIA plot"
"327","Q3-L2",-161.467154,68.472875,"6/28/04 0:00","ARCN FIA plot"
"328","Q3-L5",-161.524671,68.488593,"6/29/04 0:00","ARCN FIA plot"
"329","Q3-S4",-161.486519,68.480247,"6/26/04 0:00","ARCN FIA plot"
"330","NE-2a",-156.176944,68.027878,"7/2/05 0:00","ARCN FIA plot"
"331","NE-2b",-156.140755,68.013271,"7/2/05 0:00","ARCN FIA plot"
"332","NE-2c",-156.561099,67.851664,"6/29/05 0:00","ARCN FIA plot"
"333","NE-3a",-159.661671,68.378413,"7/13/05 0:00","ARCN FIA plot"
"334","NE-3b",-156.507346,68.173628,"7/2/05 0:00","ARCN FIA plot"
"335","NE-3c",-156.655576,68.023401,"6/30/05 0:00","ARCN FIA plot"
"336","NE-4a",-159.074609,68.134666,"7/3/05 0:00","ARCN FIA plot"
"337","NE-4b",-158.222753,68.230416,"7/10/05 0:00","ARCN FIA plot"
